name,author,narrator,time,releasedate,language,stars,price,ratings
The Magic Ocean Slide & The Giant Conker,EmmaBeswetherick,HayleyWareham,133,2022-01-04,English,0.0,573.0,0.0
Krieg der Fluten,DanJolley,JacobWeigert,402,2022-03-30,german,0.0,468.0,0.0
The Secret of Splint Hall,KatieCotton,JuliaBarrie,561,2022-01-04,English,0.0,759.0,0.0
Tschakka! - Freunde in Sicht,MaraAndeck,MonikaOschek,149,2022-03-30,german,0.0,367.0,0.0
El candidato novato,JordiSierraiFabra,AnetaFernández,174,2022-01-04,spanish,0.0,192.0,0.0
The Call of the Silver Wibbler,HannahPeck,CharlieSanderson,93,2022-03-31,English,0.0,569.0,0.0
Frankie Best Hates Quests,ChrisSmith,"ChrisSmith,KariseYansen,RoyMcMillan",391,2022-03-31,English,0.0,410.0,0.0
Trapped in the Overworld,WinterMorgan,NicolZanzarella,114,2016-06-30,English,5.0,233.0,3.0
The Boy Who Biked the World: On the Road to Africa,AlastairHumphreys,AlastairHumphreys,115,2022-11-02,English,0.0,569.0,0.0
The 143-Storey Treehouse,"AndyGriffiths,TerryDenton",StigWemyss,100,2021-10-19,English,5.0,323.0,1.0
Unicorn Academy: Isla and Buttercup,JulieSykes,KristinAtherton,96,2022-10-03,English,0.0,266.0,0.0
Herobrine's War,MarkCheverton,NickWalther,381,2022-01-03,English,0.0,703.0,0.0
Small Change for Stuart,LissaEvans,LissaEvans,246,2021-01-07,English,0.0,664.0,0.0
The Extreme,KatherineApplegate,RamóndeOcampo,184,2022-04-01,English,0.0,445.0,0.0
Alain l'alien,Xavier-LaurentPetit,MarionTrintignant,11,2022-09-03,french,0.0,338.0,0.0
Wingfeather Tales,"AndrewPeterson-editor,JonathanRogers,N.D.Wilson,",AndrewPeterson,638,2021-03-23,English,0.0,1382.0,0.0
Spider-Man gegen Sandman / Spider-Man und die Marvels,"MacKenzieCadenhead,SeanRyan,AnkeAlbrecht-Übersetzer",ChristianZeiger,57,2022-03-21,german,0.0,166.0,0.0
Swamp Sting!,"SebastianFacio,BlakeA.Hoena",anonymous,11,2022-03-16,English,0.0,105.0,0.0
Poison Jungle,TuiT.Sutherland,ShannonMcManus,445,2019-07-30,English,5.0,656.0,10.0
39 Clues: Cahills vs. Vespers,GordonKorman,DavidPittu,322,2011-08-30,English,5.0,586.0,5.0
